Metric,Task,Value,Unit
Max Throughput,randomized-nested-queries-with-inner-hits_default_big_size,14.88,ops/s
50th percentile latency,randomized-nested-queries-with-inner-hits_default_big_size,11353.54375550014,ms
90th percentile latency,randomized-nested-queries-with-inner-hits_default_big_size,14010.711052200713,ms
99th percentile latency,randomized-nested-queries-with-inner-hits_default_big_size,14943.97952450061,ms
99.9th percentile latency,randomized-nested-queries-with-inner-hits_default_big_size,15136.86653603742,ms
100th percentile latency,randomized-nested-queries-with-inner-hits_default_big_size,15146.378842000559,ms
50th percentile service time,randomized-nested-queries-with-inner-hits_default_big_size,120.73674249950272,ms
90th percentile service time,randomized-nested-queries-with-inner-hits_default_big_size,188.0453491994558,ms
99th percentile service time,randomized-nested-queries-with-inner-hits_default_big_size,306.45160016898444,ms
99.9th percentile service time,randomized-nested-queries-with-inner-hits_default_big_size,382.2496331737123,ms
100th percentile service time,randomized-nested-queries-with-inner-hits_default_big_size,670.7671779986413,ms
error rate,randomized-nested-queries-with-inner-hits_default_big_size,0.00,%
